	"America|255,235,0"	"Asturias|39,39,128"	"Atlante|220,20,60"	"Atlas|236,28,36"	"Cruz Azul|6,53,122"	"Espana|0,0,0"	"Guadalajara|226,20,29"	"Leon|22,118,58"	"Marte|254,39,39"	"Monterrey|0,43,93"	"Morelia|226,34,39"	"Necaxa|237,28,36"	"Oro|255,207,17"	"Pachuca|22,37,119"	"Puebla|43,75,117"	"Santos Laguna|0,128,102"	"Tampico|100,201,255"	"Tecos UAG|255,0,0"	"Tigres UANL|251,175,53"	"Tijuana|237,27,38"	"Toluca|208,17,43"	"UNAM|32,44,86"	"Veracruz|255,0,0"	"Zacatepec|0,128,0"
5 de diciembre de 2010	14	3	5	1	8	7	11	5	3	4	1	7	1	5	2	3	1	1	2	0	10	6	2	2
22 de mayo de 2011	14	3	5	1	8	7	11	5	3	4	1	7	1	5	2	3	1	1	2	0	10	7	2	2
11 de diciembre de 2011	14	3	5	1	8	7	11	5	3	4	1	7	1	5	2	3	1	1	3	0	10	7	2	2
20 de mayo de 2012	14	3	5	1	8	7	11	5	3	4	1	7	1	5	2	4	1	1	3	0	10	7	2	2
2 de diciembre de 2012	14	3	5	1	8	7	11	5	3	4	1	7	1	5	2	4	1	1	3	1	10	7	2	2
26 de mayo de 2013	15	3	5	1	8	7	11	5	3	4	1	7	1	5	2	4	1	1	3	1	10	7	2	2
15 de diciembre de 2013	15	3	5	1	8	7	11	6	3	4	1	7	1	5	2	4	1	1	3	1	10	7	2	2
18 de mayo de 2014	15	3	5	1	8	7	11	7	3	4	1	7	1	5	2	4	1	1	3	1	10	7	2	2
14 de diciembre de 2014	16	3	5	1	8	7	11	7	3	4	1	7	1	5	2	4	1	1	3	1	10	7	2	2
31 de mayo de 2015	16	3	5	1	8	7	11	7	3	4	1	7	1	5	2	5	1	1	3	1	10	7	2	2
13 de diciembre de 2015	16	3	5	1	8	7	11	7	3	4	1	7	1	5	2	5	1	1	4	1	10	7	2	2
29 de mayo de 2016	16	3	5	1	8	7	11	7	3	4	1	7	1	6	2	5	1	1	4	1	10	7	2	2
